epoch,train_loss,task_loss,indep_loss,bias_loss,ib_loss,lr,grad_norm,time_elapsed
0,1.9480008818947814,1.4723609036189504,0.5198466494535979,0.836477216013508,0.5416701902281507,0.001,0,21.68620777130127
1,1.8758599886548395,1.433331842206275,0.542315709388749,0.7662203289137173,0.5186400011346862,0.001,0,21.46932315826416
2,1.656498401381611,1.261124646235812,0.5337773088536119,0.6734390573049652,0.5276485252402161,0.001,0,21.597830772399902
3,1.6422808790169943,1.2788355294178,0.7174312428231026,0.5728670412948291,0.5268690522232556,0.001,0,21.829713582992554
4,1.509147355602597,1.1931311108668505,0.5145831997302837,0.518468072337907,0.5323879737510073,0.001,0,21.759356260299683
5,1.5011702497138424,1.1807644212163824,0.5169394233321155,0.5267313321274711,0.5346212935256195,0.001,0,21.642768621444702
6,1.4029269550930836,1.108099133542622,0.5174998538016248,0.47541267826973094,0.5371489171337678,0.001,0,21.88667631149292
7,1.3764705480313795,1.0769273139949984,0.515389868214291,0.4854404086428775,0.528404005519607,0.001,0,21.563172340393066
8,1.3106637362023317,1.0225343599884515,0.5180323707508031,0.4618984808555418,0.5376891155158592,0.001,0,21.82358193397522
9,1.3461650381277164,1.0539482837523433,0.5294078184688684,0.46779505414321737,0.5378436201056752,0.001,0,21.533620834350586
10,1.2682093990787575,1.0024128397638594,0.5171962889546057,0.41743730141317115,0.5358269793296238,0.001,0,23.110207080841064
11,1.2363442750984868,0.9562679033724177,0.5184052817773609,0.44560723598145796,0.5432214411916656,0.001,0,24.275397300720215
12,1.2822261719734966,1.0205183851494275,0.5272467379689011,0.4072830315300675,0.5341590150884902,0.001,0,23.562941312789917
13,2.84194401974388,1.045288337295022,15.803812922050808,0.42180670542458737,0.5371099490695123,0.001,0,23.50162363052368
14,535.5149085815013,1.0036919011129277,5342.990970465607,0.41341109098681833,0.5376992328066436,0.001,0,22.836459398269653
15,1.1896684973077594,0.9153854175097283,0.5161158291934516,0.4347209756880883,0.5311005324427468,0.001,0,22.916872024536133
16,1.2354527229761545,0.982924679555007,0.5171279381492517,0.3908300432657294,0.5400224484917477,0.001,0,22.940754890441895
17,1.1232061479115758,0.8860391182556944,0.5170191526994248,0.36034069930159945,0.5294759255378925,0.001,0,22.889591693878174
18,54350.62487208253,0.8827995258190093,543495.5653731101,0.3567089323698497,0.5600826324150747,0.001,0,22.46807861328125
19,1.1493869143376128,0.8802890461117144,0.6531381898346926,0.3970441745238408,0.526195572564203,0.001,0,22.74830150604248
20,9.224450461224444,0.8041913108185165,82.14392960757591,0.4011483579266756,0.5291426036609258,0.001,0,22.494250297546387
21,1.0999446301409543,0.8574270293685406,0.5146133453809145,0.3715089133397151,0.5301801684992163,0.001,0,22.414477825164795
22,1.1073188211402238,0.8795109248714978,0.5184386833509973,0.3413177769148449,0.5305133116784105,0.001,0,22.46354842185974
23,1.2140473103801666,0.8720587104608423,1.6191831767096543,0.34924837559515676,0.5446087702014905,0.001,0,22.55093741416931
24,10301.439686816084,0.7958352606217772,103004.46866206847,0.383603489083432,0.5394361848912472,0.001,0,22.49879002571106
25,24104373.504080936,0.8222628899333478,241043728.98920286,0.3656842671192639,0.5399912078985397,0.001,0,22.84372043609619
26,0.8868645027283754,0.6068927937450779,1.4510063155017134,0.2589604144718846,0.5390865312208318,0.0005,0,22.464188814163208
27,0.714938347790877,0.5362350384946108,0.5547176360553053,0.23540213320749645,0.5530474153140285,0.0005,0,22.29733109474182
28,39.193852229865165,0.5042473191526341,385.75435021532917,0.21773711192234654,0.5301393502081045,0.0005,0,22.21865701675415
29,4.423110561508555,0.5089413034648183,38.049617827536224,0.20773418981827466,0.534036192080739,0.0005,0,22.021861791610718
